ID,Title,PublicationDate,Rating
49727,Цикл вечеров «Орган в Планетарии»: узнайте, какое небесное тело вам подходит,1713348178,0.73
49718,Документируя происходящее: рецензия на фильм «Падение империи»,1713189440,0.5
49667,Дежавю, дежавю, дежавю: рецензия на фильм «Предчувствие»,1712751302,0.73
49651,Рецензия на фильм «Золото Рейна»,1712668404,0.73
49509,Бумеры, зумеры и миллениалы: чем отличаются разные поколения,1712589234,0.5
49599,Когда кто-то верит в тебя: рецензия на фильм «Ненормальный»,1712236319,0.5
49579,Go по работам с сотрудницей благотворительного фонда AdVita: про паллиативную помощь, сочувствие и смерть,1712217163,0.5
49559,Теперь с ChatGPT можно работать без регистрации,1712049791,0.5
49515,Бурлеск-шоу: между винтажной эротикой и театральным жанром,1711713947,0.73
49519,За мечтой на ржавой лодке: рецензия на фильм «Я — капитан»,1711628389,0.5
49023,«Женщина в огне» Лизы Барр: мировой бестселлер о теневом мире большого искусства,1711612349,0.5
49474,«Я не хочу в школу»: памятка для родителей, столкнувшихся с детским буллингом,1711549913,0.5
49478,Мир как будто бы пустяк: рецензия на фильм «Летучий корабль»,1711369064,0.5
49435,Ты мне не снишься: рецензия на фильм «Герой наших снов»,1710932741,0.5
49417,Грин возвращается: рецензия на фильм «Алые паруса»,1710781434,0.5
49330,Go по работам: главный редактор KudaGo про творческую сторону журналистики, стендапы, рыбу и кликбейтные заголовки,1710507332,1.0
49214,Go по работам: «сериальный маньяк» про сторителлинг, инновационный маркетинг и хобби как профессию,1710253899,0.5
49364,«Нужно понять, что поодиночке тоже круто»: интервью с Елизаветой Янковской,1710242686,0.5
49363,«Томясь душевной пустотой»: рецензия на фильм «Онегин»,1710234738,0.73
49334,Интервью с Алексеем Сухаревым: о «Модном приговоре», «Пацанках» и выборе стиля,1709832041,0.5
49310,Думай как профайлер: рецензия на сериал «Внутри убийцы»,1709740306,0.5
49302,Go по работам: актёр иммерсивного театра Кирилл Нагиев про работу с маской, импровизацию и спектакль «ВЕРНУВШИЕСЯ: Иная реальность»,1709733874,0.5
49215,Женщины в бизнесе: про предвзятость, стереотипы и женскую солидарность в предпринимательстве,1709650644,0.95
49271,Ты ко мне никогда не вернёшься: рецензия на фильм «Прошлые жизни»,1709558834,0.5
49257,Повесть о болезненной дружбе: рецензия на фильм «Свет»,1709308861,0.5
49202,Двойные лица, двойные стандарты: рецензия на фильм «Май декабрь»,1709124568,0.5
49154,Высокая кухня и высокие отношения: рецензия на фильм «Рецепт любви»,1708948958,0.5
48541,В Питере — строить бизнес. История института технологий обучения и развития,1708530610,0.5
48974,Петербург глазами тревел-блогера Артёма Рындевича: про обволакивающую атмосферу, локальные заведения и глобальные планы,1708417168,0.5
49058,Один за всех и все против Миледи: рецензия на фильм «Три мушкетёра: Миледи»,1708342434,0.5
48544,Go по работам: композитор «Майора Грома» про ускользающую мелодию, праздник пополам с рутиной и жизнь саундтрека в голове зрителя,1708095596,0.73
49026,6 минут в день: как ежедневник может изменить жизнь?,1708092815,0.5
49037,Закольцевали судьбы: рецензия на фильм «Лёд 3»,1708089860,0.5
48948,«Если не бежать вперёд, то стать кем-то значимым сложно»: дизайнер Маша Хауберк о «Кольчуге», платье из газет и высокой моде,1707989075,0.5
48973,Что такое любовь? Отвечают подписчики KudaGo ВКонтакте,1707916044,0.5
48981,Давай ограбим банк: рецензия на фильм «Мармелад»,1707905543,0.5
48957,Чувства на экране: любовь по мнению ромкомов и мелодрам,1707826875,0.5
48828,В Питере — строить бизнес. История ремесленной пекарни Enco,1707824016,0.73
48935,Как рассказать о любви, не используя трёх заветных слов? Знает фонд «Антон тут рядом»,1707823774,0.5
48916,Никита Волков об адаптации сериала «Постучись в мою дверь»: «Многое было переработано под московские реалии»,1707746495,0.5
48889,Поэзия жизни маленького человека: рецензия на фильм «Идеальные дни»,1707396820,0.5
48706,Go по работам: таролог про коллег-чернокнижников, обиженные карты и психологическую силу таро,1707218197,0.73
48750,Что за сигма этот чечик! Более 30 слов, которые помогут разобраться в современном сленге,1706784645,0.5
48662,Актёр из сериала «Слово пацана» Лев Зулькарнаев: «Нужно отпустить этот сериал. Я, во всяком случае, это сделал»,1706780821,0.5
48715,Рукописи не горят: рецензия на фильм «Мастер и Маргарита»,1706689096,0.5
48006,Go по работам: массажист о триггерах, работающих техниках и о том, почему антицеллюлитный массаж — не панацея,1706625050,0.73
48688,Город огней: рецензия на мультфильм «Мечты робота»,1706535660,0.88
48668,Ведьмы и паранормальное в кинематографе,1706525643,0.5
48611,Птица в золотой клетке: рецензия на фильм «Присцилла: Элвис и я»,1706094178,0.5
48537,В Питере — строить бизнес. История бренда Post Meridiem,1705918813,0.73
48503,Притяжение двоих: рецензия на фильм «Задира»,1705503341,0.5
48469,В тугих родительских объятиях: рецензия на фильм «Стальная хватка»,1705402323,0.5
47789,Go по работам: шеф-повар Илья Дьячков про управленческую жилку, кружку кофе и реальные обязанности на кухне,1705055301,0.5
48250,Что покупать у ювелирного бренда Qari Qris: 5 коллекций, которые не оставят вас равнодушными,1704890699,0.5
48367,Новогодний собачий патруль: рецензия на мультфильм «Великолепная пятёрка»,1704876935,0.5
48298,«Ничего на свете лучше нету»: рецензия на фильм «Бременские музыканты»,1703771086,0.5
48293,«Если вдруг вам захочется, можете подпевать»: интервью с актёром Тихоном Жизневским,1703767433,0.5
48289,Как создаётся кино: рецензия на фильм «Великая магия»,1703761967,0.5
48262,Феномен «Щелкунчика»: история самого новогоднего балета,1703678570,0.88
48203,Netflix показал кадры из сериала «Аватар: Последний маг воздуха»,1703258463,0.5
48193,Гонка не на жизнь, а на смерть: рецензия на фильм «Феррари»,1703245529,0.5
48190,История новогодней франшизы «Ёлки»,1703241054,0.88
48154,Историческое расследование или современный пересказ: Александра Маринина снова смотрит на историю Англии глазами Шекспира,1703234019,0.5
48155,Южная Корея 70-х — ретро и экшен: рецензия на фильм «Контрабандистки»,1703158273,0.5
48097,Мне совсем не нужен мир, где мы с тобой друг другу не нужны: рецензия на фильм «Новогодний шеф»,1702655864,0.73
48079,Душа и разум: рецензия на мультфильм «Волшебное приключение Да Винчи»,1702567699,0.5
48069,Нетерпимость и принятие: рецензия на фильм «Королевство зверей»,1702557862,0.5
48047,«Задача любого человека — примириться с собой»: интервью с актрисой Алиной Гвасалия,1702471074,0.5
48035,Трогательная сказка для взрослых: рецензия на мультфильм Хаяо Миядзаки «Мальчик и птица»,1702455486,0.5
47992,Холодец вошёл в топ-100 худших блюд в мире,1702287261,0.5
47972,Безумный карнавал: рецензия на фильм «Дворец»,1702035053,0.5
47939,Кукольный, но храбрый: рецензия на мультфильм «Большое маленькое приключение»,1701874311,0.5
47807,С привкусом интеллектуальной иронии: путеводитель по творчеству Вуди Аллена,1701185716,0.88
47799,Весёлый хаос режиссёров: рецензия на фильм «Книга решений»,1701169894,0.73
43966,Автокинотеатр — история необычной практики потребления кино,1681138505,0.5
43930,Писательница Ольга Примаченко о книге «К себе нежно», ответственности за свою жизнь и поисках пути к себе,1681134929,0.88
43886,Презумпция невиновности: рецензия на фильм «Айта»,1680523489,0.5
43812,Как выбрать лучшие места в театре,1680168256,1.0
43766,Симфония боя и танцы насмерть: рецензия на фильм «Джон Уик 4»,1679915266,0.88
43757,Как вернуть купленные билеты в театр или на концерт,1679914376,0.5
43749,Как составить распорядок дня и следовать ему?,1679673392,0.73
43741,Жажда жизни: рецензия на фильм «Поехавшая»,1679665091,0.73
43248,Go по работам: подолог про 102-летнюю пациентку, фут-фетишизм и советы по уходу за стопой,1679474327,0.95
43659,В духе новой волны: рецензия на фильм «По правилам и без»,1679395572,0.5
43578,Секреты компактного сбора чемодана: 7 способов грамотно подготовиться к поездке,1678950772,0.5
43581,Юность, нежность и ощущения: рецензия на фильм «Солнце моё»,1678893028,0.5
43529,Go по работам: руководитель казанского «Кружка хора» о целях проекта, певческом искусстве и хоровой импровизации,1678877973,0.84
43307,Go по работам: инженер-геолог про фемотдел и вахты длиною в несколько месяцев,1678713717,0.95
43493,Мир фэнтези и панка: рецензия на сериал «Король и Шут»,1678454759,0.5
43346,В Питере — строить бизнес. История бренда минеральной косметики Kristall Minerals,1678112304,0.5
43301,Go по работам: инструктор по йоге про скептицизм новичков, обмен ресурсами и сектантские стереотипы,1677759157,0.88
43142,Go по работам: основатель ювелирного бренда Mozi J про биоруку из золота, сотрудничество с рэперами и кастомные украшения,1677747054,0.5
43241,«От Бандитского Петербурга до 1703»: как менялся Санкт-Петербург в сериалах и кино,1677686188,0.5
43322,10 способов избежать прокрастинации и заставить себя учиться,1677682985,0.5
43323,О подростках и их родителях: рецензия на фильм «Сын»,1677586560,0.5
43283,Смотрины, выкуп невесты и пышные застолья: как менялись традиции проведения татарской свадьбы,1677499092,0.73
43236,Мария Синицына: «На спектакль "Мастерской Брусникина" нужно приходить с открытым сердцем, ни к чему не готовясь»,1676973364,0.5
43228,В поисках авторского высказывания: рецензия на фильм «Тембот»,1676907184,0.5
43190,Любовь в заложниках: рецензия на фильм «Моя пиратская свадьба»,1676627693,0.5
43117,Поэма о гибели: рецензия на последний фильм с Гаспаром Ульелем «Больше чем никогда»,1676303651,0.5
43048,С мечтой в руке: рецензия на фильм «Гнев»,1675946335,0.5
43007,Красота якутских степей: рецензия на фильм «Не хороните меня без Ивана»,1675784549,0.5
42887,Go по работам: графический дизайнер sela про личные границы, самореализацию и насмотренность,1675769965,0.73
42956,Грандиозная афера кота-авантюриста и говорящих крыс: рецензия на мультфильм «Изумительный Морис»,1675440257,0.5
42893,Классический, но уставший Гай Ричи: рецензия на фильм «Операция „Фортуна“: Искусство побеждать»,1675264510,0.5
42810,В Питере — строить бизнес. Ароматические свечи, натуральная косметика и салон SHABBY PRO,1675089137,0.73
42733,Гендерные стереотипы и борьба с ними: рецензия на фильм «По-мужски»,1674566289,0.5
42750,Я не хочу быть человеком, люди злые: рецензия на фильм «Чебурашка»,1674551774,0.73
42648,Валерий Сюткин: «Я делю музыку на хорошую и плохую, на тихую и громкую»,1674044791,0.5
42403,Go по работам: инструктор-проводник по водному туризму Елизавета Куравина про любимые маршруты, ответственность за туристов и луну,1673533094,0.73
42549,Месть и беспамятство: рецензия на фильм «Помнить»,1673451361,0.73
42509,В Питере — строить бизнес. О петербургском бренде ремешков для Apple Watch из Омска Slava Larionov‎,1673362497,0.5
42518,Волшебство для самых маленьких: рецензия на мультфильм «Маша и Медведь в кино: 12 месяцев»,1673351462,0.5
42240,Чудеса на льду: история фигурного катания в Российской империи,1673272300,0.5
42415,Ради веры в чудо: рецензия на «Ёлки 9»,1672241700,0.5
42400,Сон и его метастазы: рецензия на фильм «На тебе сошёлся клином белый свет»,1672172509,0.5
42320,Go по работам: хоккеист Александр Щемеров про спорт, поддержку болельщиков и любимые хобби,1672136369,0.88
42334,В центре Петербурга открылся первый VK Store,1672052162,0.5
42196,Go по работам: издатель «Бумкниги» про стереотипы о графических романах, создание шрифтов и правильное чтение комиксов,1671719724,0.5
42254,Смех и отвращение: рецензия на фильм «Треугольник печали»,1671462379,0.5
42221,Девочка из прошлого: рецензия на сериал «Уэнсдэй»,1671368007,0.5
42119,Я хочу к маме: рецензия на фильм «Время года зима»,1670941724,0.5
41992,«Массштаб»: о чём снимают молодые режиссёры,1670426358,0.5
